Rank|Year|Movie|Worldwide|Domestic|International
1|2019|Avengers: Endgame|2795469403 |858369403 |1937100000 
2|2009|Avatar|2789705275 |760507625 |2029197650 
3|1997|Titanic|2208208395 |659363944 |1548844451 
4|2015|Star Wars Ep. VII: The Force Awakens|2053311220 |936662225 |1116648995 
5|2018|Avengers: Infinity War|2048134200 |678815482 |1369318718 
6|2015|Jurassic World|1648854864 |652270625 |996584239 
7|2019|The Lion King|1599814249 |529914249 |1069900000 
8|2015|Furious 7|1518722794 |353007020 |1165715774 
9|2012|The Avengers|1517935897 |623279547 |894656350 
10|2015|Avengers: Age of Ultron|1403013963 |459005868 |944008095 
11|2018|Black Panther|1348258224 |700059566 |648198658 
12|2011|Harry Potter and the Deathly Hallows: Part II|1341693157 |381193157 |960500000 
13|2017|Star Wars Ep. VIII: The Last Jedi|1316721747 |620181382 |696540365 
14|2018|Jurassic World: Fallen Kingdom|1305772799 |417719760 |888053039 
15|2013|Frozen|1272469910 |400738009 |871731901 
16|2017|Beauty and the Beast|1259199706 |504014165 |755185541 
17|2018|Incredibles 2|1242507764 |608581744 |633926020 
18|2017|The Fate of the Furious|1234846267 |225764765 |1009081502 
19|2013|Iron Man 3|1215392272 |408992272 |806400000 
20|2015|Minions|1160336173 |336045770 |824290403 
21|2018|Aquaman|1146894640 |335061807 |811832833 
22|2003|The Lord of the Rings: The Return of the King|1141403341 |377845905 |763557436 
23|2016|Captain America: Civil War|1140069413 |408084349 |731985064 
24|2019|Captain Marvel|1126129839 |426829839 |699300000 
25|2019|Spider-Man: Far From Home|1126103396 |388452775 |737650621 
26|2011|Transformers: Dark of the Moon|1123790543 |352390543 |771400000 
27|2012|Skyfall|1110526981 |304360277 |806166704 
28|2014|Transformers: Age of Extinction|1104039076 |245439076 |858600000 
29|2012|The Dark Knight Rises|1084439099 |448139099 |636300000 
30|2010|Toy Story 3|1068879522 |415004880 |653874642 
31|2006|Pirates of the Caribbean: Dead Man’s Chest|1066215812 |423315812 |642900000 
32|2019|Toy Story 4|1053387196 |431887196 |621500000 
33|2016|Rogue One: A Star Wars Story|1049102856 |532177324 |516925532 
34|2011|Pirates of the Caribbean: On Stranger Tides|1045663875 |241063875 |804600000 
35|1993|Jurassic Park|1038812584 |395708305 |643104279 
36|2019|Aladdin|1037340115 |354840115 |682500000 
37|2017|Despicable Me 3|1034724710 |264624300 |770100410 
38|1999|Star Wars Ep. I: The Phantom Menace|1027044677 |474544677 |552500000 
39|2010|Alice in Wonderland|1025491110 |334191110 |691300000 
40|2016|Finding Dory|1021215193 |486295561 |534919632 
41|2016|Zootopia|1019429616 |341268248 |678161368 
42|2012|The Hobbit: An Unexpected Journey|1017003568 |303003568 |714000000 
43|2008|The Dark Knight|1001996207 |533720947 |468275260 
44|1994|The Lion King|986214868 |421785283 |564429585 
